id;username;email;password
1;athwart finally mammoth;Alysson_Schinner@gmail.com;off franchise outlandish
2;given vainly;Emmalee31@yahoo.com;validate boohoo beyond
3;at keenly;Norwood_Cronin@hotmail.com;plus naturalize
4;huzzah next;Ahmed87@hotmail.com;paint avaricious with
5;gah;Brian_Johnson95@yahoo.com;inasmuch
6;conceal regress weakly;Leland.Bradtke94@hotmail.com;so plus
7;crafty rise;Nichole.VonRueden-Stamm44@hotmail.com;provided even
8;meh;Kurt.Reichel@gmail.com;woot whether
9;moccasins;Gudrun_Grant@yahoo.com;concerning though
10;codepage;Efren.Kuhic27@hotmail.com;besides hence
